symbol,name,sector
HLI,Helia Group Limited,Financials
IEM,iShares MSCI Emerging Markets ETF,Unclassified
IWLD,iShares Core MSCI World ex Australia ESG ETF,Unclassified
RDX,Redox Limited,Industrials
HACK,BetaShares Global Cybersecurity ETF,Unclassified
AUI,Australian United Investment Company Limited,Financials
BKI,BKI Investment Company Limited,Financials
NGI,Navigator Global Investments Limited,Financials
ALK,Alkane Resources Limited,Materials
PDI,Predictive Discovery Limited,Materials
DTL,Data#3 Limited,Information Technology
GLIN,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,Unclassified
IXJ,iShares Global Healthcare ETF,Unclassified
VESG,Vanguard Ethically Conscious International Shares Index ETF,Unclassified
NAN,Nanosonics Limited,Health Care
SSM,Service Stream Limited,Industrials
QAU,BetaShares Gold Bullion ETF - Currency Hedged,Unclassified
HMC,HMC Capital Limited,Financials
PGF,PM Capital Global Opportunities Fund,Financials
KLS,Kelsian Group Limited,Industrials
BVS,Bravura Solutions Limited,Information Technology
DPM,DPM Metals Inc.,Materials
TEA,Tasmea Limited,Industrials
FFM,FireFly Metals Ltd,Materials
VGB,Vanguard Australian Government Bond Index ETF,Unclassified
GNP,GenusPlus Group Limited,Industrials
FAIR,BetaShares Australian Sustainability Leaders ETF,Unclassified
CKF,Collins Foods Limited,Consumer Discretionary
SX2,Southern Cross Gold Consolidated Ltd,Materials
VDGR,Vanguard Diversified Growth Index ETF,Unclassified
BGP,Briscoe Group Limited,Consumer Discretionary
IAA,iShares Asia 50 ETF,Unclassified
LFG,Liberty Financial Group Limited,Financials
EOS,Electro Optic Systems Holdings Limited,Industrials
CMW,Cromwell Property Group,Real Estate
APZ,Aspen Group Limited,Real Estate
GDX,Vaneck Vectors Gold Miners ETF,Unclassified
LFS,Latitude Financial Services Group Limited,Financials
CQE,Charter Hall Social Infrastructure REIT,Real Estate
SGLLV,Ricegrowers Limited,Consumer Staples
AOV,Amotiv Limited,Consumer Discretionary
WA1,WA1 Resources Ltd,Materials
DUI,Diversified United Investment Limited,Financials
GCI,Gryphon Capital Income Trust,Financials
CIIH,ClearBridge Global Infrastructure Income Fund (Hedged) Active ETF,Unclassified
HSN,Hansen Technologies Limited,Information Technology
MMS,McMillan Shakespeare Limited,Industrials
KAR,Karoon Energy Ltd,Energy
VSO,Vanguard MSCI Australian Small Companies Index ETF,Unclassified
KCN,Kingsgate Consolidated Limited,Materials
SIQ,Smartgroup Corporation Ltd,Industrials
BCI,BCI Minerals Limited,Materials
DVP,Develop Global Limited,Materials
RIC,Ridley Corporation Limited,Consumer Staples
QAL,Qualitas Limited,Financials
PPM,Pepper Money Limited,Financials
RUL,RPMGlobal Holdings Limited,Information Technology
ABG,Abacus Group,Real Estate
C79,Chrysos Corporation Limited,Industrials
MAH,Macmahon Holdings Limited,Materials
AGVT,BetaShares Australian Government Bond ETF,Unclassified
PL8,Plato Income Maximiser Limited,Financials
VSL,Vulcan Steel Limited,Materials
QOR,Qoria Limited,Information Technology
RPL,Regal Partners Limited,Financials
ERA,Energy Resources of Australia Ltd,Energy
MOAT,VanEck Morningstar Wide Moat ETF,Unclassified
AASF,Airlie Australian Share Fund (Managed Fund),Unclassified
CIVH,ClearBridge Global Infrastructure Value Fund (Hedged) Active ETF,Unclassified
ILB,iShares Government Inflation ETF,Unclassified
IPH,IPH Limited,Industrials
DGVA,Dimensional Global Value Trust  Active ETF,Unclassified
BILL,iShares Core Cash ETF,Unclassified
IDX,Integral Diagnostics Limited,Health Care
QRI,Qualitas Real Estate Income Fund,Financials
WBT,Weebit Nano Limited,Information Technology
ASIA,BetaShares Asia Technology Tigers ETF,Unclassified
CCP,Credit Corp Group Limited,Financials
VIF,Vanguard International Fixed Interest Index (Hedged) ETF,Unclassified
IJP,iShares MSCI Japan ETF,Unclassified
DHHF,BetaShares Diversified All Growth ETF,Unclassified
FCL,Fineos Corporation Holdings Plc,Information Technology
CIN,Carlton Investments Limited,Financials
QUS,BetaShares S&P 500 Equal Weight ETF,Unclassified
IEU,iShares Europe ETF,Unclassified
CUIV,ClearBridge Global Infrastructure Value Fund Active ETF,Unclassified
WGB,WAM Global Limited,Financials
HGH,Heartland Group Holdings Limited,Financials
OZBD,BetaShares Australian Composite Bond ETF,Unclassified
DTR,Dateline Resources Limited,Materials
PPC,Peet Limited,Real Estate
ARU,Arafura Rare Earths Limited,Materials
DXI,Dexus Industria REIT,Real Estate
PNV,Polynovo Limited,Health Care
ING,Inghams Group Limited,Consumer Staples
VVLU,Vanguard Global Value Equity Active ETF (Managed Fund),Unclassified
ASG,Autosports Group Limited,Consumer Discretionary
QLTY,Betashares Global Quality Leaders ETF,Unclassified
PWH,PWR Holdings Limited,Consumer Discretionary
IHWL,iShares Core MSCI World Ex Australia ESG Leaders (AUD Hedged) ETF,Unclassified
AAC,Australian Agricultural Company Limited,Consumer Staples
FLOT,VanEck Australian Floating Rate ETF,Unclassified
BNDS,BetaShares Western Asset Australian Bond Fund (managed fund),Unclassified
A4N,Alpha HPA Limited,Materials
GTK,Gentrack Group Limited,Information Technology
4DX,4DMedical Limited,Health Care
QOZ,BetaShares FTSE RAFI Australia 200 ETF,Unclassified
BAP,Bapcor Limited,Consumer Discretionary
OPT,Opthea Limited,Health Care
AEL,Amplitude Energy Limited,Energy
DJW,Djerriwarrh Investments Limited,Financials
NUF,Nufarm Limited,Materials
NNUK,Nanuk New World Fund,Unclassified
VDBA,Vanguard Diversified Balanced Index ETF,Unclassified
MVA,Vaneck Australian Property ETF,Unclassified
BOE,Boss Energy Limited,Energy
CCL,Cuscal Limited,Financials
OPH,Ophir High Conviction Fund,Financials
LPGD,Loftus Peak Global Disruption Fund (Managed Fund),Unclassified
ELV,Elevra Lithium Limited,Materials
NXL,Nuix Limited,Information Technology
MLX,Metals X Limited,Materials
IJR,iShares S&P Small-Cap ETF,Unclassified
AEF,Australian Ethical Investment Ltd,Financials
BRE,Brazilian Rare Earths Limited,Materials
SFY,SPDR S&P/ASX 50 Fund,Unclassified
HM1,Hearts and Minds Investments Limited,Financials
RFF,Rural Funds Group,Real Estate
MYS,MyState Limited,Financials
AX1,Accent Group Limited,Consumer Discretionary
CWP,Cedar Woods Properties Limited,Real Estate
SRV,Servcorp Limited,Real Estate
AQLT,BetaShares Australian Quality ETF,Unclassified
OML,oOh!media Limited,Communication Services
VACF,Vanguard Australian Corp Fixed Interest Index ETF,Unclassified
CVL,Civmec Limited,Industrials
FML,Focus Minerals Limited,Materials
CHN,Chalice Mining Limited,Materials
KKC,KKR Credit Income Fund,Financials
MIR,Mirrabooka Investments Limited,Financials
ILC,iShares S&P/ASX 20 ETF,Unclassified
VAE,Vanguard FTSE Asia Ex Japan Shares Index ETF,Unclassified
BMN,Bannerman Energy Limited,Energy
SKC,SkyCity Entertainment Group Limited,Consumer Discretionary
RF1,Regal Investment Fund,Financials
VISM,Vanguard MSCI International Small Companies Index ETF,Unclassified
COF,Centuria Office Reit,Real Estate
HNDQ,BetaShares NASDAQ 100 ETF  Currency Hedged,Unclassified
PYC,PYC Therapeutics Limited,Health Care
MYR,Myer Holdings Limited,Consumer Discretionary
MQAE,Macquarie Core Australian Equity Active ETF,Unclassified
JIN,Jumbo Interactive Limited,Consumer Discretionary
IHOO,iShares Global 100 (AUD Hedged) ETF,Unclassified
UNI,Universal Store Holdings Limited,Consumer Discretionary
USTB,Global X US Treasury Bond ETF (Currency Hedged),Unclassified
WHF,Whitefield Industrials Limited,Financials
EQT,EQT Holdings Limited,Financials
HETH,BetaShares Global Sustainability Leaders ETF - Currency Hedged,Unclassified
BC8,Black Cat Syndicate Limited,Materials
PFP,Propel Funeral Partners Limited,Consumer Discretionary
GNG,GR Engineering Services Limited,Materials
SRL,Sunrise Energy Metals Limited,Materials
FGG,Future Generation Global Limited,Financials
AFG,Australian Finance Group Ltd,Financials
WTN,Winton Land Limited,Real Estate
ACDC,Global X Battery Tech & Lithium ETF,Unclassified
BLX,Beacon Lighting Group Limited,Consumer Discretionary
29M,29Metals Limited,Materials
IFM,Infomedia Ltd,Information Technology
LIC,Lifestyle Communities Limited,Real Estate
HLS,Healius Limited,Health Care
GWA,GWA Group Limited,Industrials
IVE,iShares MSCI EAFE ETF,Unclassified
SBM,St Barbara Limited,Materials
SXE,Southern Cross Electrical Engineering Limited,Industrials
MOT,Metrics Income Opportunities Trust,Financials
WGN,Wagners Holding Company Limited,Materials
SMI,Santana Minerals Limited,Materials
G6M,Group 6 Metals Limited,Materials
MEK,Meeka Metals Limited,Materials
YMAX,BetaShares Australian Top 20 Equity Yield Maximiser Fund (managed fund),Unclassified
EHL,Emeco Holdings Limited,Industrials
FPR,FleetPartners Group Limited,Financials
BHYB,BetaShares Australian Major Bank Hybrids Index ETF,Unclassified
VETH,Vanguard Ethically Conscious Australian Shares ETF,Unclassified
REIT,VanEck FTSE International Property (Hedged) ETF,Unclassified
EOL,Energy One Limited,Information Technology
PCI,Perpetual Credit Income Trust,Unclassified
RAC,Race Oncology Limited,Health Care
TRA,Turners Automotive Group Limited,Consumer Discretionary
XALG,Alphinity  Global  Equity  Fund  (Managed Fund),Unclassified
SYL,Symal Group Limited,Industrials
EX20,BetaShares Australian Ex-20 Portfolio Diversifier ETF,Unclassified
MI6,Minerals 260 Limited,Materials
MA1,MA Credit Income Trust,Unclassified
CRN,Coronado Global Resources Inc.,Materials
TYR,Tyro Payments Limited,Financials
TWR,Tower Limited,Financials
CUV,Clinuvel Pharmaceuticals Limited,Health Care
FGX,Future Generation Australia Limited,Financials
SHV,Select Harvests Limited,Consumer Staples
SLF,SPDR S&P/ASX 200 Listed Property Fund,Unclassified
VGL,Vista Group International Limited,Information Technology
GEM,G8 Education Limited,Consumer Discretionary
RBD,Restaurant Brands New Zealand Limited,Consumer Discretionary
AYA,Artrya Limited,Health Care
LRV,Larvotto Resources Limited,Materials
WXOZ,SPDR S&P World ex Australia Carbon Control Fund,Unclassified
SYI,SPDR MSCI Australia Select High Dividend Yield Fund,Unclassified
PGC,Paragon Care Limited,Health Care
MICH,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund),Unclassified
GEAR,BetaShares Geared Australian Equity Fund (hedge fund),Unclassified
VBLD,Vanguard Global Infrastructure Index ETF,Unclassified
ACL,Australian Clinical Labs Limited,Health Care
PGA1,Plato Global Alpha Fund Complex ETF,Unclassified
DUR,Duratec Limited,Industrials
JMS,Jupiter Mines Limited,Materials
LOT,Lotus Resources Limited,Energy
EBR,EBR Systems Inc.,Health Care
MEI,Meteoric Resources NL,Materials
DIVI,Ausbil Active Dividend Income Fund - Active ETF,Unclassified
WIA,WIA Gold Limited,Materials
R3AL,Martin Currie Real Income Fund - Active ETF,Unclassified
SPZ,Smart Parking Limited,Industrials
OCA,Oceania Healthcare Limited,Health Care
GLPR,iShares Core FTSE Global Property Ex Australia (AUD Hedged) ETF,Unclassified
LIN,Lindian Resources Limited,Materials
SEMI,Global X Semiconductor ETF,Unclassified
LYL,Lycopodium Limited,Industrials
IMR,"Imricor Medical Systems, Inc.",Health Care
IZZ,iShares China Large-Cap ETF,Unclassified
COG,COG Financial Services Limited,Financials
THL,Tourism Holdings Rentals Limited,Industrials
SHA,SHAPE Australia Corporation Limited,Industrials
MTM,Metallium Limited,Materials
VG1,VGI Partners Global Investments Limited,Financials
IJH,iShares S&P Mid-Cap ETF,Unclassified
VEQ,Vanguard FTSE Europe Shares ETF,Unclassified
OBL,Omni Bridgeway Limited,Financials
CGS,Cogstate Limited,Health Care
PIC,Perpetual Equity Investment Company Limited,Financials
DJRE,SPDR Dow Jones Global Real Estate ESG Fund,Unclassified
IGL,IVE Group Limited,Communication Services
WQG,WCM Global Growth Limited,Financials
BOC,Bougainville Copper Limited,Materials
MMI,Metro Mining Limited,Materials
ICOR,iShares Core Corporate Bond ETF,Unclassified
KSC,K&S Corporation Limited,Industrials
LGI,LGI Limited,Utilities
RARI,Russell Investments Australian Responsible Investment ETF,Unclassified
WMI,WAM Microcap Limited,Financials
TCG,Turaco Gold Limited,Materials
AIS,Aeris Resources Limited,Materials
CDP,Carindale Property Trust,Real Estate
AMA,AMA Group Limited,Industrials
ALI,Argo Global Listed Infrastructure Limited,Financials
INR,Ioneer Ltd,Materials
MMKT,Betashares Australian Cash Plus Fund (managed fund),Unclassified
PMC,Platinum Capital Limited,Financials
RMC,Resimac Group Limited,Financials
PPS,Praemium Limited,Information Technology
KPG,Kelly Partners Group Holdings Limited,Industrials
MVE,Vaneck Vectors S&P/ASX Midcap ETF,Unclassified
F100,BetaShares FTSE 100 ETF,Unclassified
SYR,Syrah Resources Limited,Materials
MGX,Mount Gibson Iron Limited,Materials
NVX,Novonix Limited,Information Technology
SKT,Sky Network Television Limited,Communication Services
SKS,SKS Technologies Group Limited,Industrials
HCW,HealthCo Healthcare and Wellness REIT,Real Estate
TVN,Tivan Limited,Materials
IGB,iShares Treasury ETF,Unclassified
AD8,Audinate Group Limited,Information Technology
DXC,Dexus Convenience Retail Reit,Real Estate
AQZ,Alliance Aviation Services Limited,Industrials
STK,Strickland Metals Limited,Materials
PLUS,VanEck Australian Corporate Bond Plus ETF,Unclassified
ATEC,BetaShares S&P/ASX Australian Technology ETF,Unclassified
VLUE,VanEck MSCI International Value ETF,Unclassified
GLOB,Barrow Hanley Global Share Fund (Managed Fund),Unclassified
BFG,Bell Financial Group Limited,Financials
TTT,Titomic Limited,Materials
AMI,Aurelia Metals Limited,Materials
IMM,Immutep Limited,Health Care
FRGG,Franklin Global Growth Fund (Managed Fund),Unclassified
BRN,Brainchip Holdings Ltd,Information Technology
L1IF,L1 Capital International Fund (Managed Fund),Unclassified
WCMQ,WCM Quality Global Growth Fund (Quoted Managed Fund),Unclassified
SPY,SPDR S&P 500 ETF Trust,Unclassified
SVM,Sovereign Metals Limited,Materials
MVR,Vaneck Vectors Australian Resources ETF,Unclassified
ESTX,Global X EURO STOXX 50 ETF,Unclassified
IESG,iShares Core MSCI Australia ESG Leaders ETF,Unclassified
FEX,Fenix Resources Ltd,Materials
A1M,AIC Mines Limited,Materials
NTU,Northern Minerals Limited,Materials
FSML,Firetrail Australian Small Companies Fund - Active ETF,Unclassified
STX,Strike Energy Limited,Energy
OPPT,Magellan Global Opportunities Fund - Active ETF,Unclassified
CVW,Clearview Wealth Limited,Financials
FID,Fiducian Group Limited,Financials
SGQ,St George Mining Limited,Materials
EML,EML Payments Limited,Financials
MYX,Mayne Pharma Group Limited,Health Care
BBN,Baby Bunting Group Limited,Consumer Discretionary
SM1,Synlait Milk Limited,Consumer Staples
RG8,Regal Asian Investments Limited,Financials
CMA,Carma Limited,Unclassified
AZY,Antipa Minerals Limited,Materials
NMG,New Murchison Gold Limited,Materials
WIRE,Global X Copper Miners ETF,Unclassified
AGX1,Antipodes Global Shares (Quoted Managed Fund),Unclassified
EMXC,iShares MSCI Emerging Markets ex China ETF,Unclassified
EUR,European Lithium Limited,Materials
BTL,Beetaloo Energy Australia Limited,Energy
MAU,Magnetic Resources NL,Materials
KSL,Kina Securities Limited,Financials
CXO,Core Lithium Ltd,Materials
GDI,GDI Property Group,Real Estate
PE1,Pengana Private Equity Trust,Financials
IPG,IPD Group Ltd,Industrials
GGUS,Betashares Geared US Equities Currency Hedged Complex ETF,Unclassified
LHGG,Lakehouse Global Growth Fund Active ETF,Unclassified
ELS,Elsight Limited,Information Technology
QMIX,SPDR MSCI World Quality Mix Fund,Unclassified
EMKT,VanEck MSCI Multifactor Emerging Markets Equity ETF,Unclassified
RXR,Robex Resources Inc.,Materials
PSQ,Pacific Smiles Group Limited,Health Care
ADH,Adairs Limited,Consumer Discretionary
IHD,iShares S&P/ASX Dividend Opportunities ETF,Unclassified
MAET,Munro Global Growth Fund,Unclassified
DN1,Dominion Income Trust 1,Unclassified
TECH,Global X Morningstar Global Technology ETF,Unclassified
ISEC,iShares Enhanced Cash ETF,Unclassified
ACF,Acrow Limited,Industrials
RBTZ,Betashares Global Robotics and Artificial Intelligence ETF,Unclassified
